titre,entreprise,localisation,contrat,secteur,experience,formation,date_publication,description,lien
Responsable Contrôle de Gestion Industriel (H/F),Energy Transfo,Casablanca (Maroc),CDI,Electro-mécanique / Mécanique,Lancer 4K Responsable Contrôle de Gestion Industriel (H/F) | Casablanca (Maroc) 9 Energy Transfo recherche un Responsable Contrôle de Gestion Industriel (H/F) pour piloter la performance financière et opérationnelle. Vos missions incluront l'élaborat,Lancer 4K Responsable Contrôle de Gestion Industriel (H/F) | Casablanca (Maroc) 9 Energy Transfo recherche un Responsable Contrôle de Gestion Industriel (H/F) pour piloter la performance financière et opérationnelle. Vos missions incluront l'élaborat,26/03/2026,"Emploi - Energy Transfo Entreprise: Energy Transfo Secteur: Electro-mécanique / Mécanique Description: ENERGY TRANSFO, pionnier dans la transformation énergétique, repousse les limites de l'innovation depuis plus de 30 ans. Spécialiste des postes de distribution électrique moyenne et basse tension, l’entreprise, filiale du prestigieux groupe ENERGY HOLDING, transforme l’avenir énergétique avec des solutions de pointe conformes aux normes internationales les plus exigeantes.


Implantée au cœur de Casablanca, et solidement présente en Afrique de l’Ouest et centrale, ENERGY TRANSFO s’impose comme un... [+] ENERGY TRANSFO , pionnier dans la transformation énergétique, repousse les limites de l'innovation depuis plus de 30 ans. Spécialiste des postes de distribution électrique moyenne et basse tension , l’entreprise, filiale du prestigieux groupe ENERGY HOLDING , transforme l’avenir énergétique avec des solutions de pointe conformes aux normes internationales les plus exigeantes. Implantée au cœur de Casablanca , et solidement présente en Afrique de l’Ouest et centrale, ENERGY TRANSFO s’impose comme un partenaire stratégique pour l’optimisation des infrastructures électriques. Ses équi",https://www.rekrute.com/energy-transfo-emploi-recrutement-104583.html
Chef Projet Event/ communication/Marketing/activation/institutionnel,K events,Casablanca (Maroc),CDI,Communication / Evénementiel,"Lancer 4K Chef Projet Event/ communication/Marketing/activation/institutionnel | Casablanca (Maroc) 6 K Events recherche un(e) Chef de Projet Événementiel pour concevoir et réaliser des événements à forte valeur ajoutée, de la conception à la clôture","Lancer 4K Chef Projet Event/ communication/Marketing/activation/institutionnel | Casablanca (Maroc) 6 K Events recherche un(e) Chef de Projet Événementiel pour concevoir et réaliser des événements à forte valeur ajoutée, de la conception à la clôture",26/03/2026,"Emploi - K events Entreprise: K events Secteur: Communication / Evénementiel Postes proposés: 15 Description: K events est une agence conseil en communication événementielle. Durant les dix dernières années, K events a accompagné ses clients dans l'organisation de leurs évènements au Maroc et à l'international. Domaines de compétences : organisation de salons et foires, organisation de campagnes de communications, organisation d'événements institutionnels, corporates ou privés. K events est une agence conseil en communication événementielle. Durant les dix dernières années, K events a accompagné ses clients dans l'organisation de leurs évènements au Maroc et à l'international. Domaines de compétences : organisation de salons et foires, organisation de campagnes de communications, organisation d'événements institutionnels, corporates ou privés. [-] Suivre 1                        - 6 sur 6 Page 1 sur            
             1 Lancer 4K Chef Projet Event/ communication/Marketing/activation/institutionnel | Casablanca (Maroc) 6 K Events recherche un(e) Chef de Projet Événementiel pour concevoir et réaliser des événements à forte valeur ajoutée, de la conception à la clôture. Le poste",https://www.rekrute.com/k-events-emploi-recrutement-341766.html
Responsable Exploitation Réseau – Points de Vente,MiniMelt Maroc,Casablanca (Maroc),CDI,Distribution,"Lancer 4K Responsable Exploitation Réseau – Points de Vente | Casablanca (Maroc) 2 MiniMelt Maroc recherche un Responsable Exploitation Réseau pour structurer et piloter les opérations des points de vente. Ce rôle clé implique le recrutement, la form","Lancer 4K Responsable Exploitation Réseau – Points de Vente | Casablanca (Maroc) 2 MiniMelt Maroc recherche un Responsable Exploitation Réseau pour structurer et piloter les opérations des points de vente. Ce rôle clé implique le recrutement, la form",25/03/2026,"Emploi - MiniMelt Maroc Entreprise: MiniMelt Maroc Secteur: Distribution Postes proposés: 1 Description: MiniMelt Maroc est le représentant officiel de la marque internationale MiniMelt, pionnière et leader mondial dans la fabrication de glaces perlées par technologie cryogénique.

Présente dans plus de 40 pays et forte de plus de 20 ans d’expertise, la marque s’appuie sur une technologie brevetée permettant de produire une glace de qualité premium, à la texture unique et au goût préservé. 

Dans le cadre de son développement au Maroc, MiniMelt Maroc déploie un modèle multi-canaux... [+] MiniMelt Maroc est le représentant officiel de la marque internationale MiniMelt , pionnière et leader mondial dans la fabrication de glaces perlées par technologie cryogénique. Présente dans plus de 40 pays et forte de plus de 20 ans d’expertise, la marque s’appuie sur une technologie brevetée permettant de produire une glace de qualité premium, à la texture unique et au goût préservé. Dans le cadre de son développement au Maroc, MiniMelt Maroc déploie un modèle multi-canaux combinant : Grande distribution Réseau de points de vente (centres commerciaux, cafés, stations-service, emplacements saison",https://www.rekrute.com/minimelt-maroc-emploi-recrutement-349686.html
Coordinateur de Chantier Bâtiment.,Bricoma,Fès (Maroc),CDI,Distribution,"Lancer 4K Coordinateur de Chantier Bâtiment. | Fès (Maroc) 7 BRICOMA recrute un Coordinateur de Chantier Bâtiment pour sa filiale la FONCIERE DE TOUBKAL. Vous assurerez le suivi quotidien des travaux, coordonnerez les différents corps de métier et ve","Lancer 4K Coordinateur de Chantier Bâtiment. | Fès (Maroc) 7 BRICOMA recrute un Coordinateur de Chantier Bâtiment pour sa filiale la FONCIERE DE TOUBKAL. Vous assurerez le suivi quotidien des travaux, coordonnerez les différents corps de métier et ve",25/03/2026,"Emploi - Bricoma Entreprise: Bricoma Secteur: Distribution Description: BRICOMA a ouvert son premier magasin en 2004 à Rabat dévoilant ainsi en exclusivité aux marocains la première grande surface spécialisée en Bricolage. Depuis, nous nous sommes imposés comme les leaders du Bricolage au Maroc avec l'inauguration de plusieurs autres grandes surfaces à travers les plus grandes villes du Royaume. Aujourd'hui, BRICOMA est une enseigne 100% marocaine leader dans son secteur, présente à travers 18 villes du Royaume et 24 Magasins de vente. Avec 1500 collaborateurs, notre succès est... [+] BRICOMA a ouvert son premier magasin en 2004 à Rabat dévoilant ainsi en exclusivité aux marocains la première grande surface spécialisée en Bricolage. Depuis, nous nous sommes imposés comme les leaders du Bricolage au Maroc avec l'inauguration de plusieurs autres grandes surfaces à travers les plus grandes villes du Royaume. Aujourd'hui, BRICOMA est une enseigne 100% marocaine leader dans son secteur, présente à travers 18 villes du Royaume et 24 Magasins de vente. Avec 1500 collaborateurs, notre succès est assuré par leur travail et le sens du devoir. Notre capital humain, ainsi que notre assise fina",https://www.rekrute.com/bricoma-emploi-recrutement-316892.html
Enseignement                                                                 - Secteur Enseignement / Formation,,,CDI,,confirmée de 3 ans ou plus dans un établissement homologué AEFE ou suivant le programme français,"Bac +2 Minimum
                                     -  professionnelle                                     -  spécialisée",,"Professeurs des Ecoles Aefe - Casablanca Enseignement                                                                 - Secteur Enseignement / Formation Intermédiaire (3 à 5 ans)                                     - Confirmé (5 à 10 ans) 5 poste(s) sur                                                                            Casablanca et région                                     - Maroc Bac +2 Minimum
                                     - Formation professionnelle                                     - Formation spécialisée Recherche de nouveauté Respect des règles Extraversion Besoin de réflexion Organisation CDI Télétravail : Non Publiée il y a 19 jours sur ReKrute.com -
                                Postulez avant le 25/05/2026 J'aime Entreprise : Groupe scolaire d’excellence, institution historique et prestigieuse, reconnue pour la qualité de son enseignement et son haut niveau d’exigence académique. Porté par une vision pédagogique ambitieuse et des valeurs fortes, cet établissement de renom s’inscrit dans une dynamique constante d’innovation et d’accompagnement vers la réussite et l’épanouissement de chaque élève. Poste : Rattaché(e) à la direction pédagogique, vous aur",https://www.rekrute.com/offre-emploi-professeurs-des-ecoles-aefe-recrutement-confidentiel-casablanca-181103.html?#matching4K
Informatique / Electronique                                                                 - Secteur Indifférent,,,CDI,,,"Bac +5 et plus Minimum
                                     - Ecole d'ingénieur                                     - Master",,"Senior Mobile Developer (React Native) - Casablanca Informatique / Electronique                                                                 - Secteur Indifférent Intermédiaire (3 à 5 ans) 1 poste(s) sur                                                                            Casablanca et région                                     - Maroc Bac +5 et plus Minimum
                                     - Ecole d'ingénieur                                     - Master Recherche de nouveauté Créativité Rationalisme Besoin de réflexion Besoin d'autonomie Implication au travail Ambition Organisation CDI Télétravail : Non Publiée il y a 19 jours sur ReKrute.com -
                                Postulez avant le 25/05/2026 J'aime Entreprise : ous sommes une société spécialisée dans le recrutement et l’intérim, accompagnant entreprises et candidats dans la mise en relation efficace et le développement de carrière. Rejoignez notre réseau pour accéder à des missions variées et des opportunités professionnelles adaptées à votre profil. Poste : Dans le cadre du renforcement de son équipe tech, notre client, une plateforme SaaS innovante spécialisée dans le recrutement, recherche un(e) Senior",https://www.rekrute.com/offre-emploi-senior-mobile-developer-react-native-recrutement-confidentiel-casablanca-181100.html?#matching4K
Chargé des achats,Equelec,Rabat (Maroc),CDI,Electricité,"Lancer 4K Chargé des achats | Rabat (Maroc) 10 EQUELEC recrute un Chargé des Achats pour gérer les besoins des services, lancer les consultations, négocier et suivre les commandes. Vous analyserez les besoins, négocierez avec les fournisseurs et assu","Lancer 4K Chargé des achats | Rabat (Maroc) 10 EQUELEC recrute un Chargé des Achats pour gérer les besoins des services, lancer les consultations, négocier et suivre les commandes. Vous analyserez les besoins, négocierez avec les fournisseurs et assu",25/03/2026,"Emploi - Equelec Entreprise: Equelec Secteur: Electricité Postes proposés: 1 Description: EQUELEC, entreprise marocaine fondée en 1986, dispose de près de 40 ans d’expertise en installations électriques et solutions photovoltaïques. EQUELEC, entreprise marocaine fondée en 1986, dispose de près de 40 ans d’expertise en installations électriques et solutions photovoltaïques. [-] Suivre 1                        - 1 sur 1 Page 1 sur            
             1 Lancer 4K Chargé des achats | Rabat (Maroc) 10 EQUELEC recrute un Chargé des Achats pour gérer les besoins des services, lancer les consultations, négocier et suivre les commandes. Vous analyserez les besoins, négocierez avec les fournisseurs et assurerez le suivi des livraisons. Une formation en achats et une première expérience sont requises, ainsi qu'un bon sens de l'organisation et de la négociation. Publication : du 25/03/2026 au 25/05/2026 |  Postes proposés: 1 Secteur d'activité : BTP / Génie Civil - Electricité Fonction : Achats / Supply Chain , Electricité Expérience requise : Junior (1 à 3 ans) - Intermédiaire (3 à 5 ans) Niveau d'étude demandé : Bac +3 Type de contrat proposé : CDI - Télétravail : Non 1                 ",https://www.rekrute.com/equelec-emploi-recrutement-331448.html
Chef de Projet MOA Trésorerie & Cash Management (H/F),Tectra,Casablanca (Maroc),CDI,Recrutement / Intérim,Lancer 4K Chef de Projet MOA Trésorerie & Cash Management (H/F) | Casablanca (Maroc) 6 Chef de Projet MOA Trésorerie & Cash Management (H/F) à pourvoir chez TECTRA. Vous piloterez la mise en place d'une solution TMS et de la connectivité bancaire mul,Lancer 4K Chef de Projet MOA Trésorerie & Cash Management (H/F) | Casablanca (Maroc) 6 Chef de Projet MOA Trésorerie & Cash Management (H/F) à pourvoir chez TECTRA. Vous piloterez la mise en place d'une solution TMS et de la connectivité bancaire mul,25/03/2026,"Emploi - Tectra Entreprise: Tectra Secteur: Recrutement / Intérim Postes proposés: 1 Description: Créé en 2002, TECTRA est bien plus qu’un acteur du recrutement : c’est un partenaire humain qui place les talents, les parcours et les relations durables au centre de son engagement.

À travers un réseau de 28 agences au Maroc, dont 5 spécialisées dans des secteurs clés (hôtellerie, BTP, industrie, services tertiaires et métiers agricoles), TECTRA accompagne chaque jour candidats et entreprises avec écoute, proximité et expertise.

Animé par une vision responsable et inclusive, le Groupe a... [+] Créé en 2002, TECTRA est bien plus qu’un acteur du recrutement : c’est un partenaire humain qui place les talents, les parcours et les relations durables au centre de son engagement. À travers un réseau de 28 agences au Maroc , dont 5 spécialisées dans des secteurs clés (hôtellerie, BTP, industrie, services tertiaires et métiers agricoles), TECTRA accompagne chaque jour candidats et entreprises avec écoute, proximité et expertise . Animé par une vision responsable et inclusive, le Groupe a élargi son horizon en 2019 en s’implantant en Côte d’Ivoire, au Sénégal et au Cameroun , affirmant ainsi ",https://www.rekrute.com/tectra-emploi-recrutement-321997.html
Commercial / Vente / Export- Gestion / Comptabilité / Finance- Secteur Import / Export / Négoce,,,CDI,,,"Bac +2 Minimum
                                     - BTS / DUT",,"chargé de recouvrement - Casablanca Commercial / Vente / Export - Gestion / Comptabilité / Finance - Secteur Import / Export / Négoce Junior (1 à 3 ans)                                     - Intermédiaire (3 à 5 ans) 1 poste(s) sur                                                                            Casablanca et région                                     - Maroc Bac +2 Minimum
                                     - BTS / DUT Flexibilité Travail en équipe Ambition Organisation CDI Télétravail : Non Publiée il y a 19 jours sur ReKrute.com -
                                Postulez avant le 25/05/2026 J'aime Entreprise : Une entreprise spécialisée dans la distribution d’équipements, de consommables et de solutions destinés aux laboratoires. Elle accompagne ses clients en proposant des produits de qualité ainsi que des services adaptés à leurs besoins spécifiques. Poste : Rejoignez notre dynamique entreprise spécialisée dans le Matériel Médical , idéalement située à Casablanca . Une opportunité vous attend en tant que Chargé de Recouvrement , un rôle clé pour la gestion de nos flux financiers et le maintien de relations clients saines. Votre objectif principal sera de garantir l",https://www.rekrute.com/offre-emploi-charge-de-recouvrement-recrutement-confidentiel-casablanca-181084.html?#matching4K
Administration des ventes / SAV- Commercial / Vente / Export- Secteur Distribution								- Pétrole / Gaz,,,CDI,,,"Bac +5 et plus Minimum
                                     - Licence                                     - Master",,"Responsable de Zone - Tout le Maroc Administration des ventes / SAV - Commercial / Vente / Export - Secteur Distribution								- Pétrole / Gaz Intermédiaire (3 à 5 ans)                                     - Confirmé (5 à 10 ans) 1 poste(s) sur                                                                            Tout le Maroc                                     - Maroc Bac +5 et plus Minimum
                                     - Licence                                     - Master Volonté de persuasion Rationalisme Improvisation Implication au travail CDI Télétravail : Non Poste avec Management Publiée il y a 20 jours sur ReKrute.com -
                                Postulez avant le 24/05/2026 J'aime Entreprise : Une grande société recrute un Responsable de Zone. Poste : En tant que Responsable de zone, vos missions principales consistent à : Gérer et animer une équipe de gérants ; Assurer le contrôle interne dans le respect des procédures en vigueur ; Assurer le reporting régulier auprès de la direction de l’entreprise ; Animer les stations ; Surveiller les écarts entre les objectifs prévisionnels et les objectifs réalisés et proposer des actions correctives ; Assurer une",https://www.rekrute.com/offre-emploi-responsable-de-zone-recrutement-confidentiel-tout-le-maroc-181077.html?#matching4K
RH / Personnel / Formation                                                                 - Secteur Indifférent								- Autres services,,,CDI,,,"Bac +3 Minimum
                                     -  spécialisée",,"Responsable RH de proximité - Meknès RH / Personnel / Formation                                                                 - Secteur Indifférent								- Autres services Intermédiaire (3 à 5 ans)                                     - Confirmé (5 à 10 ans) 1 poste(s) sur                                                                            Meknès et région                                     - Maroc Bac +3 Minimum
                                     - Formation spécialisée Extraversion Besoin d'objectivité Besoin d'autonomie Implication au travail CDI Télétravail : Non Poste avec Management Publiée il y a 20 jours sur ReKrute.com -
                                Postulez avant le 24/05/2026 J'aime Entreprise : Groupe industriel et commercial d'envergure nationale, reconnu pour son expertise dans divers secteurs stratégiques, recherche à renforcer ses équipes dans le cadre de son développement continu. Fort d'une présence établie sur le marché marocain, le groupe se distingue par son engagement envers l'excellence, l'innovation et la durabilité. Nous offrons un environnement stimulant, propice à l'évolution professionnelle, au sein d'une structure valorisant la performanc",https://www.rekrute.com/offre-emploi-responsable-rh-de-proximite-recrutement-confidentiel-meknes-181068.html?#matching4K
Méthodes / Process / Industrialisation- Commercial / Vente / Export- Secteur Chimie / Parachimie / Peintures								- Autres Industries,,,,,,"Bac +3 Minimum
                                     - Licence",,"Technical Sales Engineer – Morocco Office - Berrechid Méthodes / Process / Industrialisation - Commercial / Vente / Export - Secteur Chimie / Parachimie / Peintures								- Autres Industries Débutant (-1 an)                                     - Junior (1 à 3 ans) 1 poste(s) sur                                                                            Casablanca et région                                     - Maroc Bac +3 Minimum
                                     - Licence Recherche de nouveauté Respect des règles Extraversion Volonté de persuasion Intuition / Spontanéité Besoin de réflexion Ambition Organisation Autre Télétravail : Non Publiée il y a 20 jours sur ReKrute.com -
                                Postulez avant le 24/05/2026 J'aime Entreprise : Company Description: We are a multinational company operating in the chemical and materials industry, with subsidiaries in more than 20 countries across Europe, Africa, Asia, and the Americas. Our business model is focused on the B2B sector, providing innovative chemical solutions and advanced materials to industrial clients worldwide. Our mission is to deliver value through technology, innovation, and close collaboration w",https://www.rekrute.com/offre-emploi-technical-sales-engineer-morocco-office-recrutement-confidentiel-berrechid-181049.html?#matching4K
Conseillers Expérimentés : Métiers de Conseil et Relation Client avec Rebond,Unifitel,Casablanca (Maroc),CDI,Banque / Finance,Lancer 4K Conseillers Expérimentés : Métiers de Conseil et Relation Client avec Rebond | Casablanca (Maroc) 2 Rejoignez UNIFITEL en tant que Conseiller Expérimenté en Métiers de Conseil et Relation Client à Tanger. Vous accompagnerez les clients dans,Lancer 4K Conseillers Expérimentés : Métiers de Conseil et Relation Client avec Rebond | Casablanca (Maroc) 2 Rejoignez UNIFITEL en tant que Conseiller Expérimenté en Métiers de Conseil et Relation Client à Tanger. Vous accompagnerez les clients dans,24/03/2026,"Emploi - Unifitel Entreprise: Unifitel Secteur: Banque / Finance Description: UNIFITEL et la Succursale Marocaine d’ARGENCE DEVELOPPEMENT, centres de services financiers, membres du Groupe Français Crédit Agricole Personal Finance & Mobility, proposent des métiers de la chaîne de valeur du Crédit et de l’Assurance.

Nous opérons principalement sur 3 axes financiers pour le marché Français : Crédit à la consommation, Recouvrement et Assurances.

Nous fournissons nos services en omnicanal avec une forte expertise sur le Digital.

Notre politique sociale, managériale et de... [+] UNIFITEL et la Succursale Marocaine d’ARGENCE DEVELOPPEMENT , centres de services financiers, membres du Groupe Français Crédit Agricole Personal Finance & Mobility , proposent des métiers de la chaîne de valeur du Crédit et de l’Assurance. Nous opérons principalement sur 3 axes financiers pour le marché Français : Crédit à la consommation, Recouvrement et Assurances. Nous fournissons nos services en omnicanal avec une forte expertise sur le Digital. Notre politique sociale, managériale et de formation est avant-gardiste et ambitieuse. Nous plaçons nos collaborateurs dans des conditions idéales pour s’épanoui",https://www.rekrute.com/unifitel-emploi-recrutement-320675.html
Logistique / Transport (métiers de)                                                                 - Secteur Agroalimentaire								-,,,CDI,,souhaitée : 3 à 5 ans en environnement industriel.,"Bac +2 Minimum
                                     - Université",,"Magasinier - Settat Logistique / Transport (métiers de)                                                                 - Secteur Agroalimentaire								- Junior (1 à 3 ans) 1 poste(s) sur                                                                            Casablanca et région                                     - Maroc Bac +2 Minimum
                                     - Université Respect des règles Besoin d'action Implication au travail Organisation CDI Télétravail : Non Publiée il y a 20 jours sur ReKrute.com -
                                Postulez avant le 24/05/2026 J'aime Entreprise : . Poste : En tant que magasinier, vous aurez comme principale mission : Gestion des Stocks Magasin Produits Finis. Gestion des Stocks Magasin des Emballages (Carton, Barquettes, Etiquettes…etc) Gestion des Stocks Magasin IPC Vos principales activités: Gestion des Stocks Produits Finis. Gestion des Emballages/Cartons/Barquettes Margarine. Gestion des IPC (Ingrédients et Produits Chimique). Réalisation des Inventaires journaliers et Mensuels/Semestriels/Annuels. Edition état des stock journaliers et Edition de la balance technique mensuel. Saisie des productions sur ERP (Sage). Garant ",https://www.rekrute.com/offre-emploi-magasinier-recrutement-confidentiel-settat-181046.html?#matching4K
Distribution (métiers de la)- Gestion / Comptabilité / Finance- Secteur Autres Industries,,,CDI,,,"Bac +4 Minimum
                                     -  spécialisée                                     - Master",,"Directeur Administratif et Financier - Maroc Distribution (métiers de la) - Gestion / Comptabilité / Finance - Secteur Autres Industries Confirmé (5 à 10 ans) 1 poste(s) sur                                                                            Meknès et région                                     - Maroc Bac +4 Minimum
                                     - Formation spécialisée                                     - Master Respect des règles Rationalisme Besoin d'objectivité Implication au travail Organisation CDI Télétravail : Non Poste avec Management Publiée il y a 20 jours sur ReKrute.com -
                                Postulez avant le 16/05/2026 J'aime Entreprise : Groupe d'envergure nationale, reconnu pour son expertise dans divers secteurs stratégiques, recherche à renforcer ses équipes dans le cadre de son développement continu. Fort d'une présence établie sur le marché marocain, le groupe se distingue par son engagement envers l'excellence, l'innovation et la durabilité. Nous offrons un environnement stimulant, propice à l'évolution professionnelle, au sein d'une structure valorisant la performance et la collaboration. Poste : Vous rêvez d'un rôle stimulant au sein",https://www.rekrute.com/offre-emploi-directeur-administratif-et-financier-recrutement-confidentiel-maroc-180839.html?#matching4K
Avocat / Juriste / Fiscaliste                                                                 - Secteur Pétrole / Gaz,,,CDI,,,Bac +4 Minimum,,"Responsable Juridique - Casablanca Avocat / Juriste / Fiscaliste                                                                 - Secteur Pétrole / Gaz Confirmé (5 à 10 ans) 1 poste(s) sur                                                                            Casablanca et région                                     - Maroc Bac +4 Minimum Distance émotionnelle Rationalisme Besoin de réflexion Organisation CDI Télétravail : Non Publiée il y a 20 jours sur ReKrute.com -
                                Postulez avant le 24/05/2026 J'aime Entreprise : Groupe pétrolier solidement implanté depuis plusieurs décennies sur le marché marocain, basé à Sidi Maârouf – Casablanca, et disposant d’un réseau étendu de stations-service directes et indirectes. Dans le cadre du renforcement de notre organisation et de la structuration de notre Direction des Ressources Humaines, nous recrutons un(e) : Responsable Juridique Poste : Vous participerez à la gestion des aspects juridiques du groupe, sous la supervision de la Direction, en veillant à la conformité réglementaire et à la sécurisation des opérations. Vos principales missions seront : • Rédiger, analyser et suivre les contrats et documents j",https://www.rekrute.com/offre-emploi-responsable-juridique-recrutement-confidentiel-casablanca-181043.html?#matching4K
Marketing Specialist,TP-Link Morocco,Casablanca (Maroc),CDI,Telecom,"Lancer 4K Marketing Specialist | Casablanca (Maroc) 4 TP-LINK recherche un(e) Marketing Specialist à Casablanca pour coordonner formations, workshops et événements marketing offline. Le/la candidat(e) idéal(e) possède au moins 2 ans d'expérience en o","Lancer 4K Marketing Specialist | Casablanca (Maroc) 4 TP-LINK recherche un(e) Marketing Specialist à Casablanca pour coordonner formations, workshops et événements marketing offline. Le/la candidat(e) idéal(e) possède au moins 2 ans d'expérience en o",24/03/2026,"Emploi - TP-Link Morocco Entreprise: TP-Link Morocco Secteur: Telecom Postes proposés: 1 Description: À propos de TP-LINK 
TP-LINK est un fournisseur mondial de produits de réseautage SOHO et B2B et le premier fournisseur mondial de produits WLAN, avec des produits disponibles dans plus de 120 pays à des dizaines de millions de clients. Engagé dans une R&D intensive, une production efficace et une gestion stricte de la qualité, TP-LINK continue de fournir des produits de mise en réseau primés dans les domaines du sans fil, de l'ADSL, des routeurs, des commutateurs, des points d'accès et des solutions de... [+] À propos de TP-LINK TP-LINK est un fournisseur mondial de produits de réseautage SOHO et B2B et le premier fournisseur mondial de produits WLAN, avec des produits disponibles dans plus de 120 pays à des dizaines de millions de clients. Engagé dans une R&D intensive, une production efficace et une gestion stricte de la qualité, TP-LINK continue de fournir des produits de mise en réseau primés dans les domaines du sans fil, de l'ADSL, des routeurs, des commutateurs, des points d'accès et des solutions de réseautage d'entreprise, des produits Smart Home aux clients B2B et aux ut",https://www.rekrute.com/tp-link-morocco-emploi-recrutement-331802.html
Software Engineer Python / DevOps,Coface,Casablanca (Maroc),CDI,Assurance / Courtage,"Lancer 4K Software Engineer Python / DevOps | Casablanca (Maroc) 3 Coface recherche un Ingénieur Logiciel Python/DevOps pour rejoindre son Data Lab international. Vous développerez des solutions opérationnelles, gérerez des pipelines CI/CD et travail","Lancer 4K Software Engineer Python / DevOps | Casablanca (Maroc) 3 Coface recherche un Ingénieur Logiciel Python/DevOps pour rejoindre son Data Lab international. Vous développerez des solutions opérationnelles, gérerez des pipelines CI/CD et travail",23/03/2026,"Emploi - Coface Entreprise: Coface Secteur: Assurance / Courtage Description: 70 ans d’expérience et un maillage territorial des plus fins ont fait de Coface une référence dans l’assurance-crédit, la gestion des risques et l’économie mondiale. Les experts de Coface opèrent au cœur de l’économie mondiale, aidant ~50.000 clients à construire des entreprises performantes, dynamiques et en croissance dans 200 pays.
 
Avec une présence directe et indirecte dans 12 pays au Maghreb, en Afrique de l’Ouest et Centrale, Coface offre un dispositif unique d’accompagnement... [+] 70 ans d’expérience et un maillage territorial des plus fins ont fait de Coface une référence dans l’assurance-crédit, la gestion des risques et l’économie mondiale. Les experts de Coface opèrent au cœur de l’économie mondiale, aidant ~50.000 clients à construire des entreprises performantes, dynamiques et en croissance dans 200 pays. Avec une présence directe et indirecte dans 12 pays au Maghreb, en Afrique de l’Ouest et Centrale, Coface offre un dispositif unique d’accompagnement aux entreprises implantées dans la région pour les protéger contre le risque de défaillance financière de leurs clients. L’assurance-crédit",https://www.rekrute.com/coface-emploi-recrutement-316899.html
Informatique / Electronique                                                                 - Secteur Informatique,,,CDI,,significative sur Databricks (obligatoire),"Bac +4 Minimum
                                     - Master",,"Data Engineer - casablanca Informatique / Electronique                                                                 - Secteur Informatique Confirmé (5 à 10 ans) 1 poste(s) sur                                                                            Casablanca et région                                     - Maroc Bac +4 Minimum
                                     - Master Recherche de nouveauté Besoin de réflexion Besoin d'autonomie Implication au travail Ambition CDI Télétravail : Hybride Publiée il y a 21 jours sur ReKrute.com -
                                Postulez avant le 23/05/2026 J'aime Entreprise : Acteur majeur du conseil technologique en France et à l’international, recrute pour ses équipes,nous accompagnons les grandes entreprises et les institutions dans leur transformation digitale, avec une approche alliant expertise métier et innovation technologique. Poste : Rejoignez notre équipe dynamique dans le secteur des Autres services en tant que Data Engineer . Basé(e) à Casablanca , vous jouerez un rôle clé dans la transformation et l'optimisation de nos flux de données. En tant que profil senior, vos missions seront : Concevoir, développer et optimiser des pipeli",https://www.rekrute.com/offre-emploi-data-engineer-recrutement-confidentiel-casablanca-181013.html?#matching4K
Informatique / Electronique                                                                 - Secteur Informatique								- Internet / Multimédia,,,CDI,,senior en cadrage et conception d'ensemble de projets à fort impact sur les processus métier et outils IT (Management des Processus et approche de bout en bout des solutions IT),"Bac +5 et plus Minimum
                                     - Master",,"Senior Business Analyst - Asset Management (H/ F) - Casablanca Informatique / Electronique                                                                 - Secteur Informatique								- Internet / Multimédia Confirmé (5 à 10 ans) 5 poste(s) sur                                                                            Casablanca et région                                     - Maroc Bac +5 et plus Minimum
                                     - Master Besoin d'autonomie Besoin de réflexion Ambition Implication au travail Recherche de nouveauté CDI Télétravail : Hybride Poste avec Management Publiée il y a 21 jours sur ReKrute.com -
                                Postulez avant le 09/05/2026 J'aime Entreprise : Pour l'un de nos projets, nous recrutons un Senior Business Analyst - Asset Management (H/ F). Poste : Vous aurez comme mission: Recueillir, challenger, macro-chiffrer et formaliser les exigences et les macro-fonctionnalités / user stories de la solution dans SAP IMA (Investment Management Assets) Modéliser et proposer des simplifications de processus métier et des règles de gestion et justifier ces évolutions envisagées Identifier les impacts sur les processus transverses et",https://www.rekrute.com/offre-emploi-senior-business-analyst---asset-management-h-f-recrutement-confidentiel-casablanca-180612.html?#matching4K
