Titre du poste,Entreprise,Secteur d'activite,Localisation geographique,Competences requises,Niveau d'experience requis,Type de contrat,Date de publication,URL source de l'offre
Coordinateur / coordinatrice marketing senior / junior,BEST PROFIL,Tourisme / Hôtellerie / Restauration,Agadir,"requises : maitrise des outils de gestion de projet (ex : trello, asana). connaissance des strategies de marketing digital (seo, reseaux sociaux, etc.). excellentes",,Interim,30 Apr-11:37,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10372275/Coordinateur-coordinatrice-marketing-senior-junior.html
Assistante de direction dg,Confidentiel,Accueil / Secrétariat / Administration,Rabat,,a partir de 3 ans dans le,CDI,30 Apr-11:37,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10372272/Assistante-de-direction-DG.html
Support it,distra,Informatique / Multimédia / Internet,Deroua,"-bac +3 / bac +5 en informatique, reseaux ou systemes. -minimum 2 ans dexperience dans un poste similaire.",dans un poste similaire.,A discuter,30 Apr-11:37,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10372270/Support-IT.html
Commercial pro b2b,,Commercial / Vente,Casablanca,,,A discuter,30 Apr-11:36,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10372266/COMMERCIAL-PRO-B2B.html
Hotesse de caisse,Confidentiel,Grande Distribution,Casablanca,"formation en commerce, gestion ou equivalent. premiere experience en caisse ou en relation client souhaitee. sens du service, rigueur et bonne presentation. aisance relationnelle et capacite a travailler en equipe.","en caisse ou en relation client souhaitee. sens du service, rigueur et bonne presentation. aisance relationnelle et capacite a travailler en equipe.",A discuter,30 Apr-11:36,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10372267/Hotesse-de-caisse-Casablanca.html
Assistante import,confidentiel,Entreprise / Import / Export,Casablanca,diplome : bac+4 en commerce international - experience : minimum 2 ans dans le,minimum 2 ans dans le,A discuter,30 Apr-11:35,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10370817/assistante-import.html
Commis/coursier en douane,TRANSPORTEC,Entreprise / Import / Export,Casablanca,- experience confirmee dans le,confirmee dans le,CDI,30 Apr-11:30,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10366843/COMMISCOURSIER-EN-DOUANE.html
Conseiller(e) vendeur(se) magasin,Confidentiel,Grande Distribution,Casablanca,bac+2 avec une,"souhaitee dans la vente de produits electriques ou techniques. bon sens du service client et aisance relationnelle. dynamisme, rigueur et esprit dequipe.",A discuter,30 Apr-11:27,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10372263/Conseiller(e)-vendeur(se)-magasin.html
Chargée des opérations,Z-Evolution,Santé / Médical,Rabat,,s de moins d'un an sur la,Anapec,30 Apr-11:25,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10368320/Chargée-des-opérations.html
Conducteurs (ec),solano-emploi,Autre,Casablanca,,,Interim,30 Apr-11:24,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10331504/Conducteurs-(EC).html
Comptable junior à,AVANTA MAROC,Comptabilité / Gestion / Audit,Rabat,,un stage souhaite,Interim,30 Apr-11:24,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10372259/Comptable-junior-à-Rabat.html
Opérateur automobile,xxxx,Automobile,Kénitra,,,Interim,30 Apr-11:12,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10364309/Opérateur-automobile-Kénitra.html
Chargé des méthodes,confidentiel,Maintenance / Entretien,Rabat,"-bac +2 / bac +3 / bac +5 en maintenance industrielle, electrotechnique, electromecanique, genie industriel ou methodes -minimum 5 ans dexperience dans un poste similaire, idealement en maintenance multitechnique ou facility management -bonne maitrise des processus de maintenance preventive et corrective -maitrise dune gmao (planification, suivi des interventions) -capacite danalyse des indicateurs de performance -connaissances de base en electromecanique, electricite batiment, plomberie, climatisation - poste base a rabat","dans un poste similaire, idealement en maintenance multitechnique ou facility management -bonne maitrise des processus de maintenance preventive et corrective -maitrise dune gmao (planification, suivi des interventions) -capacite danalyse des indicateurs de performance -connaissances de base en electromecanique, electricite batiment, plomberie, climatisation - poste base a rabat",A discuter,30 Apr-11:10,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10370783/Chargé-des-Méthodes-–-Rabat.html
Chef projet marketing,TAGANA,Marketing / Communication / Publicité / Rp,Marrakech,formation: master en marketing experience: 2 a 5 ans la maitrise du francais est obligatoire,2 a 5 ans la maitrise du francais est obligatoire,CDI,30 Apr-11:10,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10368301/CHEF-PROJET-MARKETING.html
Assistante rh aïn sebaâ ( ),HOTIN,Ressources Humaines / Recrutement / Intérim,Casablanca,,"confirmee en gestion de la paie, idealement en environnement interim notions en recrutement maitrise des outils informatiques (excel, logiciels de paie) rigueur, organisation et sens de la confidentialite localisation : ain sebaa casablanca merci de nous faire parvenir vos candidatures.",A discuter,30 Apr-11:07,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10372248/Assistante-RH-–-Aïn-Sebaâ-(Casablanca).html
Agent de guichet femme,Bureau de change,Banque / Finance / Assurance,Casablanca,"-femme, presentation soignee et excellent sens du relationnel - niveau bac +2 minimum (commerce, gestion ou equivalent) - experience en caisse fortement souhaitee - serieuse, rigoureuse et a laise avec les chiffres - bonne gestion du stress et sens du service client - bonne maitrise de la langue francaise merci denvoyer votre cv avec photo","en caisse fortement souhaitee - serieuse, rigoureuse et a laise avec les chiffres - bonne gestion du stress et sens du service client - bonne maitrise de la langue francaise merci denvoyer votre cv avec photo",CDI,30 Apr-11:05,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10368281/Agent-de-Guichet-Femme.html
Jardinier / gardien,anonyme,Sécurité / Surveillance / Gardiennage,Mohammedia,"experience en jardinage souhaitee serieux, ponctuel et responsable autonomie et sens de lorganisation bonne condition physique sens du service et vigilance - conditions : lieu de travail : mohammedia type de","en jardinage souhaitee serieux, ponctuel et responsable autonomie et sens de lorganisation bonne condition physique sens du service et vigilance - conditions : lieu de travail : mohammedia type de",A discuter,30 Apr-11:00,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10371535/JARDINIER-GARDIEN-MOHAMMEDIA.html
Chef d'atelier,casablanca,Industrie / Ingénierie / Energie,Casablanca,"bac+2 (bts, dut ou equivalent) - experience de 3ans en production industrielle - capacite a gerer une equipe - sens de lorganisation et reactivite lieu du poste : en presentiel",de 3ans en production industrielle - capacite a gerer une equipe - sens de lorganisation et reactivite lieu du poste : en presentiel,A discuter,30 Apr-11:00,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10362832/Chef-datelier.html
Technicien comptable (h/f),Particulier,Comptabilité / Gestion / Audit,Settat,,"significative dans la comptabilite, de preference acquise au sein d'une societe fiduciaire. une bonne maitrise des outils comptables et des normes fiscales est indispensable poste base a settat",A discuter,30 Apr-10:59,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10372240/Technicien-Comptable-(HF)-Settat.html
Frigoriste,Confidentiel,Maintenance / Entretien,Saidia,,5000 a 5500 dh,Interim,30 Apr-10:55,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10370888/Frigoriste-SAIDIA.html
Comptable expérimentée,SARL,Comptabilité / Gestion / Audit,Casablanca,"diplome en comptabilite, gestion ou finance. experience minimale de 8 ans dans un poste similaire. bonne maitrise des logiciels comptables (sage ou equivalent). maitrise des outils bureautiques (excel, word). rigueur, sens de lorganisation et esprit danalyse. bon relationnel et capacite a travailler en equipe. lieu : casablanca remuneration : selon profil","minimale de 8 ans dans un poste similaire. bonne maitrise des logiciels comptables (sage ou equivalent). maitrise des outils bureautiques (excel, word). rigueur, sens de lorganisation et esprit danalyse. bon relationnel et capacite a travailler en equipe. lieu : casablanca remuneration : selon profil",A discuter,30 Apr-10:55,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10372227/Comptable-expérimentée.html
